ADC;
1236;
1133;
1038;
962;
900;
857;
824;
813;
823;
845;
889;
946;
1020;
1107;
1214;
1322;
1447;
1579;
1710;
1853;
1994;
2134;
2269;
2406;
2530;
2648;
2752;
2843;
2922;
2985;
3030;
3060;
